Company,Current_Ticker,Ticker_At_Start,Activist_Group,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Date_And_Time,Year,Month,Date,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return,Hp_Alpha,One_Year_Alpha,Follower_Alpha,Activist_Tactics
Rocky Mountain Chocolate Factory Inc,RMCF US Equity,RMCF US,"AB Value Management LLC and Bradley L Radoff ""Brad""",8: Board Representation; Remove Poison Pill; Board Representation; Board Control; Independent Chair; Board Representation; Board Representation; Other (Urges Board to Establish a Special Committee),-44.0454,5.80E+07,7.53,Start: 2019-04-26. UTC: 2019-04-26T20:43:31.000Z,2019,4,26,Occasional Activist,4366105,1.105959,-52.9213,-44.6574,-14.2075,-92.3185,-52.2733,-92.7648,Formal Notice for Proxy Fight; Letter to Company; Threaten Fight; Activist Lawsuit; Formal Proposal (Non-Proxy Fight)
Quorum Health Corp,QHCCQ US Equity,QHC US,Goldman Sachs & Co LLC,1: Strategic Review,-94.8276,5.45E+07,9.3,Start: 2019-04-26. UTC: 2019-04-26T21:06:37.000Z,2019,4,26,Occasional Activist,5064101,-1.72414,-93.7586,-94.7368,-91.6692,-104.403,-93.1107,-104.19,
Shutterfly Inc,SFLY US Equity,SFLY US,Okumus Fund Management Ltd,Stake Only 13D: No Public Activism,15.27936,1.50E+09,5.2,Start: 2019-04-29. UTC: 2019-04-29T14:31:17.000Z,2019,4,29,Occasional Activist,77914496,1.391106,16.23717,13.69771,15.27936,12.94959,14.4512,11.48233,
CSS Industries Inc,CSS US Equity,CSS US,Varana Capital Focused LP,1: Board Control,43.07458,5.81E+07,4,Start: 2019-04-29. UTC: 2019-04-29T20:15:00.163Z,2019,4,29,Occasional Activist,2322076,6.697108,43.07458,34.09415,43.07458,39.2835,39.2835,30.40447,Formal Notice for Proxy Fight
Herzfeld Caribbean Basin Fund Inc/The,CUBA US Equity,CUBA US,"Phillip F Goldstein ""Phil""",1: Realize NAV,40.78425,,9.99976,Start: 2019-04-30. UTC: 2019-04-30T16:37:17.000Z,2019,4,30,Occasional Activist,,2.521008,-25.5266,37.32234,13.19971,-19.985,-27.4093,-23.2899,
Occidental Petroleum Corp,OXY US Equity,OXY US,T Rowe Price Group Inc,2: Remove Director/Withhold Votes; Oppose Acquisition,-72.0693,4.40E+10,2.8,Start: 2019-04-30. UTC: 2019-04-30T20:50:13.822Z,2019,4,30,Engagement Focus,1.23E+09,-2.37772,-68.3471,-71.389,-62.7829,-89.5363,-69.196,-89.7428,
BlackRock Credit Allocation Income Trust,BTZ US Equity,BTZ US,Saba Capital Management LP,2: Declassify Board; Board Representation,9.135309,1.32E+09,5.18,Start: 2019-05-02. UTC: 2019-05-02T21:17:52.000Z,2019,5,2,Secondary Focus,68598300,0.235294,10.09001,8.879123,9.135309,5.378684,11.11338,6.12303,Formal Notice for Proxy Fight; Activist Lawsuit; Letter to Company
Viveve Medical Inc,VIVE US Equity,VIVE US,Nantahala Capital Management LLC,3: Strategic Review; Sale of Company; Other (Recapitalization),-82.58,2.32E+07,14.2,Start: 2019-05-03. UTC: 2019-05-03T20:03:55.000Z,2019,5,3,Secondary Focus,3300691,14.7,-98.7044,-84.8126,-82.58,-84.5104,-98.0336,,
Carrizo Oil & Gas Inc,CRZO US Equity,CRZO US,Lion Point Capital LP,4: Sale of Company; Strategic Review; Break Up; Cost Cutting,-28.6087,1.06E+09,6.3,Start: 2019-05-06. UTC: 2019-05-06T13:01:30.000Z,2019,5,6,Core Activist,67013762,3.130435,-31.913,-30.7757,-28.6087,-32.7157,-42.7227,-35.3416,
Great Elm Capital Group Inc,GEC US Equity,GEC US,Long Ball Partners LLC,1: Board Representation,-37.1703,1.08E+08,8.9,Start: 2019-05-06. UTC: 2019-05-06T20:57:12.000Z,2019,5,6,Occasional Activist,9650421,-0.23981,-53.717,-37.0192,-24.5913,-68.6138,-52.7954,-70.6686,
Red Robin Gourmet Burgers Inc,RRGB US Equity,RRGB US,Vintage Capital Management LLC,5: Strategic Review; Sale of Company; Board Control; Acquire Company; Board Representation,-66.6379,4.51E+08,8.5,Start: 2019-05-09. UTC: 2019-05-09T21:12:39.000Z,2019,5,9,Secondary Focus,38326704,-1.32298,-58.9014,-66.1906,-63.4588,-73.5522,-63.0185,-72.6723,Formal Notice for Proxy Fight; Letter to Company; Unsolicited Bid; Call for Meeting
New Media Investment Group Inc,GCI US Equity,GCI US,Alden Global Capital LLC,3: Oppose Acquisition; Strategic Review; Board Representation,-26.9819,6.10E+08,7.4,Start: 2019-05-09. UTC: 2019-05-09T22:05:00.164Z,2019,5,9,Secondary Focus,45105642,2.979146,-87.7554,-29.0942,-26.9819,-36.697,,,Formal Notice for Proxy Fight
Chico's FAS Inc,CHS US Equity,CHS US,Sycamore Partners LLC,2: Acquire Company; Other (Special Meeting Request),16.54616,4.31E+08,6.6,Start: 2019-05-10. UTC: 2019-05-10T12:45:53.000Z,2019,5,10,Secondary Focus,28448607,7.837838,-58.706,8.075384,16.54616,5.62695,-62.8232,-2.39498,Letter to Company
Flotek Industries Inc,FTK US Equity,FTK US,North Sound Management Inc,1: Strategic Review,-79.8735,1.91E+08,6.1,Start: 2019-05-10. UTC: 2019-05-10T20:07:59.000Z,2019,5,10,Occasional Activist,11637531,1.807229,-76.3102,-80.2308,-33.4111,-133.129,-77.9121,-137.27,
FTD Cos Inc,FTDCQ US Equity,FTD US,Nantahala Capital Management LLC,2: Sale of Company; Strategic Review,-95.4344,2.23E+07,14,Start: 2019-05-10. UTC: 2019-05-10T20:31:44.000Z,2019,5,10,Secondary Focus,3126536,0.202917,-99.4927,-95.4436,-95.4344,-95.971,-112.714,-98.4621,
SemGroup Corp,SEMG US Equity,SEMG US,Alinda Capital Partners LLC,2: Sale of Company; Strategic Review,38.18865,1.01E+09,15.6,Start: 2019-05-13. UTC: 2019-05-13T20:57:54.000Z,2019,5,13,Occasional Activist,1.57E+08,8.431836,28.31846,27.44288,38.18865,30.45628,16.34989,20.57934,
Red Lion Hotels Corp,RLH US Equity,RLH US,Vindico Capital LLC,5: Remove Director/Withhold Votes; Strategic Review; Break Up; Return Capital/Buybacks; Compensation Changes,-77.8393,1.78E+08,2,Start: 2019-05-14. UTC: 2019-05-14T13:00:19.861Z,2019,5,14,Occasional Activist,3569848,10.66482,-81.1634,-79.975,-77.7479,-81.3392,-83.4627,-82.6402,Letter to Company
Legg Mason Inc,LM US Equity,LM US,Trian Fund Management LP,1: Cost Cutting,51.45531,2.97E+09,4.5,Start: 2019-05-14. UTC: 2019-05-14T21:41:10.584Z,2019,5,14,Core Activist,1.34E+08,4.61228,49.88446,44.77776,40.78015,33.28406,47.21926,27.31568,
Craft Brew Alliance Inc,BREW US Equity,BREW US,Midwood Capital Management LLC,2: Sale of Company; Strategic Review,-2.62646,2.99E+08,2,Start: 2019-05-15. UTC: 2019-05-15T19:11:00.152Z,2019,5,15,Occasional Activist,5987570,-0.58366,-2.01038,-2.0548,-2.61938,-5.7059,-4.67558,-4.51564,Letter to Company
Aura Systems Inc,AUSI US Equity,AUSI US,"Zvi Kurtzman ""Harry"", Elimelech Lowy, David Mann, Cipora Kurtzman Lavut, Dr Robert T Lempert",1: Board Control,20,1.71E+07,40.35,Start: 2019-05-15. UTC: 2019-05-15T20:54:42.000Z,2019,5,15,Occasional Activist,6892022,,-64.2857,20,8.800304,-39.2159,-66.7466,-37.7664,Formal Notice for Proxy Fight
Sino Agro Food Inc,SIAF US Equity,SIAF US,Heng Ren Investments LP,Discussions only,-64.6,1.00E+07,5.3,Start: 2019-05-17. UTC: 2019-05-17T20:04:27.000Z,2019,5,17,Secondary Focus,529957.6,1.5,-54.5,-65.1232,-31.626,-129.443,-58.7478,-131.084,Activist Lawsuit
Regulus Therapeutics Inc,RGLS US Equity,RGLS US,Sarissa Capital Management LP,Stake Only 13D: 1 Board Seat Granted,-70.6897,2.38E+07,16.53,Start: 2019-05-17. UTC: 2019-05-17T20:48:34.000Z,2019,5,17,Core Activist,3940124,10.34483,-46.9828,-73.4375,-38.2881,-136.426,-51.2305,-140.298,
USA Technologies Inc,CTLP US Equity,USAT US,Hudson Executive Capital LP,6: Board Control; Management Changes; Other (A shareholder meeting must be called at the earliest practicable date.); Remove Director/Withhold Votes; Management Changes; Remove Poison Pill,-4.23729,3.54E+08,12,Start: 2019-05-20. UTC: 2019-05-20T20:09:25.000Z,2019,5,20,Core Activist,42480648,14.57627,8.474576,-16.4201,-1.09828,-59.5968,,,Formal Notice for Proxy Fight; Letter to Company; Threaten Fight; Call for Meeting; Activist Lawsuit
Teekay Offshore Partners LP,TOO US Equity,TOO US,Noster Capital LLP,1: Oppose Merger (Target),45.75472,4.35E+08,0,Start: 2019-05-21. UTC: 2019-05-21T14:27:58.907Z,2019,5,21,Occasional Activist,0,2.830189,45.75472,41.74312,45.75472,27.29618,27.29618,24.28557,
Teekay Offshore Partners LP,TOO US Equity,TOO US,JDP Capital Management and others,1: Oppose Merger (Target),45.75472,4.35E+08,5,Start: 2019-05-21. UTC: 2019-05-21T21:32:58.020Z,2019,5,21,Occasional Activist,21751200,2.830189,45.75472,41.74312,45.75472,27.29618,27.29618,24.28557,Letter to Company
Smart & Final Stores Inc,SFS US Equity,SFS US,Glenhill Capital Advisors LLC,1: Oppose Merger (Target),-0.45942,4.99E+08,1,Start: 2019-05-22. UTC: 2019-05-22T17:15:43.959Z,2019,5,22,Occasional Activist,4994767,0.306279,-0.45942,-0.76336,-0.45942,-2.80418,-2.80418,-3.39611,
CIRCOR International Inc,CIR US Equity,CIR US,GAMCO Investors Inc,4: Board Representation; Sale of Company; Strategic Review; Other (Combined ceo/chairman position),-35.4937,8.50E+08,15.22,Start: 2019-05-23. UTC: 2019-05-23T20:31:30.000Z,2019,5,23,Secondary Focus,1.29E+08,1.544221,-68.905,-36.4747,-10.6007,-91.8199,-75.7322,-92.5665,Formal Notice for Proxy Fight; Threaten Fight; Letter to Company
Tivity Health Inc,TVTY US Equity,TVTY US,Altaris Capital Partners LLC,1: Board Representation,80.15521,8.61E+08,6.74,Start: 2019-05-24. UTC: 2019-05-24T10:04:43.000Z,2019,5,24,Occasional Activist,58001043,4.600887,-45.7871,72.23106,20.94173,34.68028,-52.6143,26.97423,
PDC Energy Inc,PDCE US Equity,PDCE US,Lion Point Capital LP,1: Support 3rd Party Activist,-50.2027,2.13E+09,2.3,Start: 2019-05-24. UTC: 2019-05-24T15:03:27.472Z,2019,5,24,Core Activist,48890746,-0.87309,-61.0539,-49.7641,-37.4699,-82.3494,-67.8811,-81.7127,
Centene Corp,CNC US Equity,CNC US,Third Point LLC,2: Sale of Company; Strategic Review,15.6983,2.29E+10,1.3,Start: 2019-05-24. UTC: 2019-05-24T18:14:10.468Z,2019,5,24,Core Activist,2.98E+08,2.616384,16.99747,12.74837,12.5256,-7.01846,10.1703,-9.78441,
Trans World Entertainment Corp,KSPN US Equity,TWMC US,Mark R. Higgins,1: Board Representation,-16.5152,1.20E+07,1.2,Start: 2019-05-24. UTC: 2019-05-24T20:51:19.000Z,2019,5,24,Occasional Activist,143584.8,2.121212,-22.1197,-18.2493,-16.2311,-29.2797,-31.7025,-31.9652,Formal Notice for Proxy Fight
Occidental Petroleum Corp,OXY US Equity,OXY US,Icahn Enterprises LP,7: Oppose Acquisition; Sale of Company; Strategic Review; Board Representation; Remove Director/Withhold Votes; Other (Oppose bylaw amendment); Board Control,4.798105,3.89E+10,4.11,Start: 2019-05-30. UTC: 2019-05-30T15:17:03.068Z,2019,5,30,Core Activist,1.60E+09,-0.17308,-72.0398,4.9798,1.71321,-60.2608,-83.6438,-59.7115,Formal Notice for Proxy Fight; Letter to Company; Threaten Fight; Call for Meeting; Activist Lawsuit; Formal Proposal (Non-Proxy Fight)
Aramark,ARMK US Equity,ARMK US,Mantle Ridge LP,2: Sale of Company; Strategic Review,13.71732,8.07E+09,20,Start: 2019-05-30. UTC: 2019-05-30T16:43:55.303Z,2019,5,30,Core Activist,1.61E+09,6.566891,-19.9358,6.709802,3.354554,-44.7827,-31.5397,-51.4372,
Orion Group Holdings Inc,ORN US Equity,ORN US,Palogic Value Management LP,Discussions only,122.2672,7.18E+07,7.2,Start: 2019-05-31. UTC: 2019-05-31T20:05:18.000Z,2019,5,31,Secondary Focus,5169924,-9.7166,6.072875,146.1883,122.2672,109.5887,-8.11102,133.1985,
Immersion Corp,IMMR US Equity,IMMR US,Viex Capital Advisors LLC,3: Remove Director/Withhold Votes; Cost Cutting; Board Control,59.34211,2.40E+08,10.3,Start: 2019-06-04. UTC: 2019-06-04T13:01:57.000Z,2019,6,4,Core Activist,24700255,0.921053,-10.5263,57.88787,31.21162,12.44092,-26.6003,,Formal Notice for Proxy Fight
WageWorks Inc,WAGE US Equity,WAGE US,HealthEquity Inc,1: Acquire Company,2.721088,1.99E+09,4.01,Start: 2019-06-04. UTC: 2019-06-04T20:04:20.596Z,2019,6,4,Occasional Activist,79907090,2.040816,2.721088,0.666667,2.721088,-2.10454,-2.10454,-3.29758,Unsolicited Bid
Nuveen Connecticut Quality Municipal Income Fund,NTC US Equity,NTC US,Bulldog Investors LLP,1: Oppose Merger (Target),5.766532,1.88E+08,5.56,Start: 2019-06-10. UTC: 2019-06-10T20:39:38.000Z,2019,6,10,Secondary Focus,10460571,0,,5.766532,5.766532,-1.59599,,-1.62801,
Ensco Rowan plc,VALPQ US Equity,ESV US,Luminus Management LLC,2: Return Capital/Buybacks; Board Control,-99.1053,1.50E+09,4.5,Start: 2019-06-12. UTC: 2019-06-12T13:00:00.340Z,2019,6,12,Occasional Activist,67557398,-5.78947,-87.7921,-99.0503,-91.8687,-148.977,-93.8989,-149.225,Letter to Company; Threaten Fight
Callaway Golf Co,MODG US Equity,ELY US,JANA Partners LLC,4: Sale of Company; Strategic Review; Break Up; Board Representation,15.22289,1.50E+09,9.5,Start: 2019-06-13. UTC: 2019-06-13T13:26:03.000Z,2019,6,13,Core Activist,1.42E+08,14.40252,-0.34607,0.717096,13.58586,0.42928,-8.08795,-13.5742,
Electromed Inc,ELMD US Equity,ELMD US,Zenith Sterling Advisers LLC,2: Return Capital/Buybacks; Board Representation,104.5455,4.44E+07,5.82,Start: 2019-06-13. UTC: 2019-06-13T19:20:42.000Z,2019,6,13,Occasional Activist,2583853,0.757576,163.447,103.0075,104.5455,86.69173,155.7051,85.66946,Letter to Company
Ashland Global Holdings Inc,ASH US Equity,ASH US,Eminence Capital LP,1: Strategic Review,34.72299,5.02E+09,8.3,Start: 2019-06-13. UTC: 2019-06-13T20:02:07.000Z,2019,6,13,Secondary Focus,4.17E+08,-2.29742,-15.5723,37.89092,8.038714,-17.6325,-22.8427,-14.69,
CIRCOR International Inc,CIR US Equity,CIR US,Crane Co,1: Acquire Company,-36.7939,8.91E+08,1.3,Start: 2019-06-17. UTC: 2019-06-17T12:01:00.125Z,2019,6,17,Occasional Activist,11586098,0.290243,-45.9924,-36.9769,-34.1364,-52.6733,-56.3742,-52.7475,Letter to Company; Tender Offer; Unsolicited Bid; Hostile Bid
Summit Materials Inc,SUM US Equity,SUM US,Southeastern Asset Management Inc,Discussions only,46.76585,1.79E+09,11.4,Start: 2019-06-17. UTC: 2019-06-17T12:34:29.000Z,2019,6,17,Secondary Focus,1.98E+08,8.732212,11.12549,34.97918,46.76585,,0.74368,25.5533,
Red Lion Hotels Corp,RLH US Equity,RLH US,Ouray Capital Management LLC,1: Board Representation,-78.6422,1.75E+08,5.6,Start: 2019-06-18. UTC: 2019-06-18T13:01:10.000Z,2019,6,18,Occasional Activist,9787910,5.091938,-69.7313,-79.677,-78.6422,-81.6227,-79.6125,-81.6642,Formal Notice for Proxy Fight
Newgioco Group Inc,ELYS US Equity,NWGI US,Clarion Finance Pte Ltd,Discussions only,9.664408,2.42E+07,,Start: 2019-06-18. UTC: 2019-06-18T19:22:48.020Z,2019,6,18,Occasional Activist,,2.457567,14.9524,7.033976,9.636769,-0.28585,5.071182,-1.85564,Letter to Company
AECOM,ACM US Equity,ACM US,Starboard Value LP,3: Break Up; Strategic Review; Sale of Company,137.6969,5.75E+09,4,Start: 2019-06-20. UTC: 2019-06-20T11:30:03.786Z,2019,6,20,Core Activist,2.30E+08,0.519978,5.090312,136.4673,27.11976,90.08394,-2.8818,90.25294,Letter to Company
Frontier Communications Corp,FTRCQ US Equity,FTR US,Aurelius Capital Management LP,1: Other (Initiate debt for equity exchange),-90.4959,1.27E+08,0.48,Start: 2019-06-20. UTC: 2019-06-20T16:50:54.893Z,2019,6,20,Occasional Activist,611530.1,11.57025,-90.4298,-91.4815,-90.3118,-99.1693,-98.4019,-99.1253,Letter to Company
Axalta Coating Systems Ltd,AXTA US Equity,AXTA US,JANA Partners LLC,1: Strategic Review,-20.3068,7.04E+09,2.5,Start: 2019-06-21. UTC: 2019-06-21T22:32:30.646Z,2019,6,21,Core Activist,1.76E+08,0.566856,-25.842,-20.756,-18.0188,-37.165,-34.0791,-37.817,
Allergan PLC,AGN US Equity,AGN US,Elliott Investment Management LP,2: Break Up; Strategic Review,20.79714,5.32E+10,2.5,Start: 2019-06-26. UTC: 2019-06-26T14:32:37.404Z,2019,6,26,Core Activist,1.33E+09,0.96657,20.79714,19.64073,20.79714,18.65286,18.65286,,
Owens Corning,OC US Equity,OC US,HG Vora Capital Management LLC,3: Sale of Company; Break Up; Strategic Review,28.67033,5.52E+09,3.49,Start: 2019-06-26. UTC: 2019-06-26T18:05:00.945Z,2019,6,26,Secondary Focus,1.93E+08,7.311321,8.707713,19.90378,28.67033,21.83492,0.898888,12.93637,
EQT Corp,EQT US Equity,EQT US,Kensico Capital Management Corp,1: Support 3rd Party Activist,-50.482,3.69E+09,3.64,Start: 2019-06-27. UTC: 2019-06-27T22:14:00.173Z,2019,6,27,Occasional Activist,1.34E+08,9.56341,-25.4078,-54.8043,-50.482,-40.1715,-30.319,-43.9761,
EQT Corp,EQT US Equity,EQT US,T Rowe Price Group Inc,1: Support 3rd Party Activist,25.55085,4.04E+09,10,Start: 2019-07-01. UTC: 2019-07-01T11:30:02.993Z,2019,7,1,Engagement Focus,4.04E+08,1.644529,-23.928,23.51954,10.10197,-38.8601,-31.4183,-39.6385,
Genesee & Wyoming Inc,GWR US Equity,GWR US,Blue Harbour Group LP,Stake Only: No Public Activism,11.88,5.69E+09,4,Start: 2019-07-01. UTC: 2019-07-01T11:43:02.966Z,2019,7,1,Former Core,2.26E+08,8.85,11.88,2.783647,11.88,0.67044,0.67044,,
Universal Stainless & Alloy Products Inc,USAP US Equity,USAP US,Privet Fund Management LLC,Stake Only 13D: No Public Activism,-49.3515,1.42E+08,8.32,Start: 2019-07-02. UTC: 2019-07-02T13:01:22.000Z,2019,7,2,Core Activist,11816239,0.370599,-48.9809,-49.5385,-35.6621,-80.1588,-56.1909,-79.9588,
Wireless Telecom Group Inc,WTT US Equity,WTT US,Horton Capital Partners LLC,Stake Only 13D: 1 Board Seat Granted,13.86793,3.39E+07,10.5,Start: 2019-07-02. UTC: 2019-07-02T20:07:14.000Z,2019,7,2,Secondary Focus,3556077,0.301887,-37.2642,13.52521,3.474131,-34.2339,-44.6658,-33.4139,
On Track Innovations Ltd,OTIVF US Equity,OTIV US,"Jerry Lafe Ivy Jr., Marlene V. Ivy, and Sandra Hardardottir",1: Board Representation,-85.2787,1.86E+07,12.9,Start: 2019-07-09. UTC: 2019-07-09T10:02:14.000Z,2019,7,9,Occasional Activist,2397143,0.022222,15.55556,-85.2819,-48.1076,-126.973,6.927808,-126.76,
Barnes & Noble Education Inc,BNED US Equity,BNED US,Bay Capital Finance LLC,2: Acquire Company; Board Control,-40.7303,1.69E+08,0.05,Start: 2019-07-15. UTC: 2019-07-15T13:00:22.782Z,2019,7,15,Occasional Activist,84662.05,11.23596,-49.4382,-46.7172,-39.8164,-49.569,-57.638,-55.5366,Formal Notice for Proxy Fight; Activist Lawsuit
Diversified Restaurant Holdings Inc,SAUC US Equity,SAUC US,Kanen Wealth Management LLC,1: Other (Offer to purchase equity),48.52899,2.33E+07,5.5,Start: 2019-07-15. UTC: 2019-07-15T21:28:39.000Z,2019,7,15,Core Activist,1279135,4.255927,48.52899,42.46575,48.52899,43.51563,43.51563,37.09689,Letter to Company
Abraxas Petroleum Corp,AXAS US Equity,AXAS US,Saltstone Capital Management LLC,2: Strategic Review; Break Up,-78.6695,1.59E+08,1.43,Start: 2019-07-18. UTC: 2019-07-18T12:00:00.300Z,2019,7,18,Occasional Activist,2280069,-2.11193,-77.8142,-78.2093,-76.7113,-93.2826,-88.0142,-92.4016,Letter to Company
Harvard Bioscience Inc,HBIO US Equity,HBIO US,Engine Capital Management LLC,7: Declassify Board; Board Representation; Strategic Review; Sale of Company; Compensation Changes; Independent Chair; Other (Refinancing debt and improve free cash flows),107.3034,6.71E+07,8.5,Start: 2019-07-18. UTC: 2019-07-18T21:26:46.000Z,2019,7,18,Core Activist,5702132,9.550562,88.76405,89.23077,95.80401,91.72164,78.96857,72.93549,Formal Notice for Proxy Fight; Letter to Company
Liberty Property Trust,LPT US Equity,LPT US,Land & Buildings Investment Management LLC,2: Strategic Review; Realize NAV,23.83529,7.53E+09,0.34,Start: 2019-07-22. UTC: 2019-07-22T13:00:00.826Z,2019,7,22,Core Activist,25595235,1.59543,23.83529,21.89061,23.83529,13.5819,13.5819,11.95083,Letter to Company
Catalyst Biosciences Inc,CBIO US Equity,CBIO US,"JDS1 LLC, and David S. Oros",14: Board Representation; Strategic Review; Other (Governance change related); Declassify Board; Sale of Company; Break Up; Compensation Changes; Remove Director/Withhold Votes; Other (Add independent directors); Other (Appoint a new Chairman); Board Representation; Board Control; Other (To inspect books and records); Return Capital/Buybacks,-75.1836,9.97E+07,7,Start: 2019-07-23. UTC: 2019-07-23T13:01:36.000Z,2019,7,23,Secondary Focus,6977215,1.5625,-29.6875,-75.5654,-35.2109,-103.786,-41.6031,-103.291,Formal Notice for Proxy Fight; Letter to Company; Threaten Fight; Activist Lawsuit
FedNat Holding Co,FNHCQ US Equity,FNHC US,Capital Returns Management LLC,2: Board Representation; Declassify Board,22.83827,1.57E+08,6.5,Start: 2019-07-23. UTC: 2019-07-23T21:22:12.000Z,2019,7,23,Secondary Focus,10195952,2.12766,-21.4511,20.27914,22.83827,22.65786,-31.2426,20.57036,Formal Notice for Proxy Fight; Activist Lawsuit
Catalyst Biosciences Inc,CBIO US Equity,CBIO US,22NW LP,6: Remove Director/Withhold Votes; Board Representation; Strategic Review; Sale of Company; Liquidation; Compensation Changes,-35.3293,1.00E+08,6.1,Start: 2019-07-24. UTC: 2019-07-24T20:09:01.000Z,2019,7,24,Secondary Focus,6102068,-1.91617,-33.2934,-34.0659,-34.4259,-47.7525,-41.8938,-47.0834,
Vertical Capital Income Fund,VCIF US Equity,VCIF US,Bulldog Investors LLP,6: Remove Director/Withhold Votes; Other (Oppose investment advisory agreement); Realize NAV; Sale of Company; Board Representation; Liquidation,31.77935,1.06E+08,7.57,Start: 2019-07-29. UTC: 2019-07-29T20:04:32.000Z,2019,7,29,Secondary Focus,8022671,3.467189,0.200934,27.36342,7.681546,-13.8176,-9.79361,-18.5955,Formal Notice for Proxy Fight; Letter to Company; Formal Proposal (Non-Proxy Fight)
Iteris Inc,ITI US Equity,ITI US,Laughing Water Capital LP,2: Remove Director/Withhold Votes; Compensation Changes,17.69088,2.17E+08,,Start: 2019-07-29. UTC: 2019-07-29T20:12:04.000Z,2019,7,29,Occasional Activist,,0.372439,-11.7318,17.25418,17.69088,,-21.7264,17.13093,
Immersion Corp,IMMR US Equity,IMMR US,Acacia Research Corp,3: Sale of Company; Strategic Review; Board Control,13.67629,2.51E+08,5.1,Start: 2019-08-01. UTC: 2019-08-01T20:33:01.000Z,2019,8,1,Secondary Focus,12825638,1.380176,-15.3074,12.12871,7.838392,-30.9395,-28.2545,-33.5347,Formal Notice for Proxy Fight
Cloudera Inc,CLDR US Equity,CLDR US,Icahn Enterprises LP,1: Board Representation,151.811,1.74E+09,12.62,Start: 2019-08-01. UTC: 2019-08-01T20:39:21.000Z,2019,8,1,Core Activist,2.20E+08,3.937008,77.48032,142.2727,52.64379,97.11946,64.53326,86.46058,
Galaxy Gaming Inc,GLXZ US Equity,GLXZ US,Triangulum Partners LLC,1: Board Control,-45.5128,2.77E+07,0,Start: 2019-08-02. UTC: 2019-08-02T21:21:46.000Z,2019,8,2,Occasional Activist,0,0,-21.7949,-45.5128,-45.5128,-34.8531,-36.7947,-37.5906,Formal Notice for Proxy Fight
Francescas Holdings Corp,FRANQ US Equity,FRAN US,Cross River Management LLC,1: Board Representation,-95.0069,8.61E+06,21.8,Start: 2019-08-05. UTC: 2019-08-05T20:01:25.000Z,2019,8,5,Occasional Activist,1877939,0.342466,83.56165,-95.0239,-77.9304,-154.969,64.27607,-152.918,
Middlefield Banc Corp,MBCN US Equity,MBCN US,Ancora Advisors LLC,5: Strategic Review; Sale of Company; Management Changes; Return Capital/Buybacks; Board Representation,36.32967,1.44E+08,5.52,Start: 2019-08-08. UTC: 2019-08-08T13:11:13.000Z,2019,8,8,Core Activist,7947188,2.477478,-16.8134,33.03379,9.503136,-3.4389,-35.3328,-4.12617,Letter to Company
InnerWorkings Inc,INWK US Equity,INWK US,Engaged Capital LLC,Stake Only: 2 Board Seats Granted,-33.5556,2.33E+08,4.97,Start: 2019-08-09. UTC: 2019-08-09T21:15:00.093Z,2019,8,9,Core Activist,11598444,-0.22222,-37.3333,-33.4076,-30.201,-51.3366,-53.7845,-52.5933,
Cloudera Inc,CLDR US Equity,CLDR US,KGI - Global Investments AS,1: Support 3rd Party Activist,62.71429,1.92E+09,0.36,Start: 2019-08-12. First Affected: 2019-08-12,2019,8,12,Former Core,6910029,-4.42857,61,70.25411,62.498,44.61589,44.54888,50.74726,
Nuveen Ohio Quality Municipal Income Fund,NUO US Equity,NUO US,Saba Capital Management LP,2: Board Representation; Declassify Board,1.298985,2.87E+08,8.73,Start: 2019-08-12. UTC: 2019-08-12T19:30:15.000Z,2019,8,12,Secondary Focus,25073482,-0.06378,3.852988,1.363631,0.515037,-55.904,-12.5981,-57.7142,Formal Notice for Proxy Fight
Mojo Organics Inc,MOJO US Equity,MOJO US,Wyatts Torch Equity Partners LP,1: Board Representation,-61.9048,5.95E+06,37.1,Start: 2019-08-12. UTC: 2019-08-12T20:37:28.000Z,2019,8,12,Occasional Activist,2206003,,-48.0952,-61.9048,-29.012,-111.613,-67.6021,-109.43,
SVMK Inc,MNTV US Equity,SVMK US,Legion Partners Asset Management LLC,5: Sale of Company; Strategic Review; Board Representation; Declassify Board; Oppose Merger (Target),-47.9688,2.39E+09,1.4,Start: 2019-08-13. UTC: 2019-08-13T21:18:02.214Z,2019,8,13,Core Activist,33479508,-0.83472,24.59655,-47.5309,-16.2359,-98.1108,7.04421,-102.158,Threaten Fight; Letter to Company
Care.com Inc,CRCM US Equity,CRCM US,Engine Capital Management LLC,2: Strategic Review; Sale of Company,60.59957,3.06E+08,3,Start: 2019-08-15. UTC: 2019-08-15T11:50:01.941Z,2019,8,15,Core Activist,9180756,7.708779,60.59957,49.10537,60.59957,41.51228,41.51228,30.33352,Letter to Company
AMAG Pharmaceuticals Inc,AMAG US Equity,AMAG US,Caligan Partners LP,6: Remove Director/Withhold Votes; Cost Cutting; Other (Global Expansion of Kidney Drug Business); Strategic Review; Break Up; Board Representation,13.07566,4.12E+08,10.3,Start: 2019-08-15. UTC: 2019-08-15T19:01:17.000Z,2019,8,15,Core Activist,42459927,-6.25,-13.0757,20.61403,10.26546,-17.6345,-34.1275,-9.74989,Formal Notice for Proxy Fight
